Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
013CB799  push aminstantservice-8.50.2.0.152E724                            "evt"
013CB7AE  push aminstantservice-8.50.2.0.152E714                            "installstart"
013CB80C  push aminstantservice-8.50.2.0.152E744                            "logname"
013CB81A  push aminstantservice-8.50.2.0.152E728                            "am-aminstant-installstart"
013CB878  push aminstantservice-8.50.2.0.152E74C                            "contentid"
013CB8E0  push aminstantservice-8.50.2.0.152E758                            "tracking"
013CB948  push aminstantservice-8.50.2.0.152E764                            "api"
013CBA16  push aminstantservice-8.50.2.0.152E768                            "AmInstant::install (url=%s, cid=%s, title=%s, tracking=%s) -> %d"
013CBB81  push aminstantservice-8.50.2.0.152E7B4                            "evt"
013CBB96  push aminstantservice-8.50.2.0.152E7AC                            "preload"
013CBBF4  push aminstantservice-8.50.2.0.152E7D0                            "logname"
013CBC02  push aminstantservice-8.50.2.0.152E7B8                            "am-aminstant-preload"
013CBC60  push aminstantservice-8.50.2.0.152E7D8                            "contentid"
013CBCC8  push aminstantservice-8.50.2.0.152E7E4                            "tracking"
013CBD4F  push aminstantservice-8.50.2.0.152E7F0                            "playlikelihood"
013CBDD7  push aminstantservice-8.50.2.0.152E800                            "api"
013CBEAE  push aminstantservice-8.50.2.0.152E810                            "AmInstant::install (url=%s, cid=%s, title=%s, tracking=%s, likelihood=%d) -> %d"
013CC0B6  push aminstantservice-8.50.2.0.152E860                            "evt"
013CC0CB  push aminstantservice-8.50.2.0.152E804                            "uninstall"
013CC128  push aminstantservice-8.50.2.0.152E87C                            "logname"
013CC136  push aminstantservice-8.50.2.0.152E864                            "am-aminstant-uninstall"
013CC193  push aminstantservice-8.50.2.0.152E884                            "contentid"
013CC20D  push aminstantservice-8.50.2.0.152E890                            "tracking"
013CC29D  push aminstantservice-8.50.2.0.152E89C                            "api"
013CC326  push aminstantservice-8.50.2.0.152E8A0                            "AmInstant::uninstall (cid=%s) -> (%d, %d)"
013CC584  push aminstantservice-8.50.2.0.152E8CC                            "AmInstant::uninstallAllGames() -> %d"
013CC6A4  push aminstantservice-8.50.2.0.152E474                            "games.json"
013CCA70  push aminstantservice-8.50.2.0.152E494                            "evt"
013CCA85  push aminstantservice-8.50.2.0.152E48C                            "play"
013CCAE2  push aminstantservice-8.50.2.0.152E4AC                            "logname"
013CCAF0  push aminstantservice-8.50.2.0.152E498                            "am-aminstant-play"
013CCB4D  push aminstantservice-8.50.2.0.152E4B4                            "contentid"
013CCBC7  push aminstantservice-8.50.2.0.152E4C0                            "tracking"
013CCC57  push aminstantservice-8.50.2.0.152E4CC                            "authtoken"
013CCCD5  push aminstantservice-8.50.2.0.152E4D8                            "api"
013CCD6F  push aminstantservice-8.50.2.0.152E4DC                            "AmInstant::Play (cid=%s, atoken=%s) -> %d"
013CD070  mov eax,aminstantservice-8.50.2.0.152EBC4                         "null"
013CD18C  push aminstantservice-8.50.2.0.152DD88                            "invalid string position"
013CD29D  push aminstantservice-8.50.2.0.152EA78                            "%d.%d.%d"
013CD2ED  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD30B  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD41E  push aminstantservice-8.50.2.0.152DD88                            "invalid string position"
013CD622  push aminstantservice-8.50.2.0.152DD88                            "invalid string position"
013CD645  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD660  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD776  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD791  push aminstantservice-8.50.2.0.152DD78                            "string too long"
013CD986  push aminstantservice-8.50.2.0.152EBC4                            "null"
013CDDC7  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013CDEDB  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013CDF58  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013CE21B  push aminstantservice-8.50.2.0.152DEAC                            "vector<T> too long"
013CE2EF  push aminstantservice-8.50.2.0.152EAEC                            "/versions.json"
013CE6AC  push aminstantservice-8.50.2.0.152EB00                            "location"
013CE785  push aminstantservice-8.50.2.0.152EB0C                            "http://"
013CE7B2  push aminstantservice-8.50.2.0.152EB14                            "https://"
013CE843  push aminstantservice-8.50.2.0.152EB20                            "location"
013CE934  push aminstantservice-8.50.2.0.152EB2C                            "%s/%s/%s"
013CE978  push aminstantservice-8.50.2.0.152EB38                            "name"
013CEA4B  push aminstantservice-8.50.2.0.152EB40                            "version"
013CEB85  push aminstantservice-8.50.2.0.152EB48                            "md5"
013CEC4A  push aminstantservice-8.50.2.0.152EB4C                            "downgrade"
013CF33A  push aminstantservice-8.50.2.0.152EB58                            "*\\GameHouseApp.exe"
013CF3FD  push aminstantservice-8.50.2.0.152EB6C                            "--upgrade --quiet"
013CF46C  push aminstantservice-8.50.2.0.152EB80                            "--quiet"
013CF4E4  push aminstantservice-8.50.2.0.152EA84                            "http://games-dl.gamehouse.com/gamehouse/activemark/"
013CF781  push aminstantservice-8.50.2.0.152EAB8                            "http://games-dl.gamehouse.com/gamehouse/activemark/"
013CFA82  push aminstantservice-8.50.2.0.152EBFC                            "aminstanttmp"
013CFB23  push aminstantservice-8.50.2.0.152ED00                            "kernel32.dll"
013CFB38  push aminstantservice-8.50.2.0.152ED10                            "Wtsapi32.dll"
013CFB44  push aminstantservice-8.50.2.0.152ED20                            "advapi32.dll"
013CFB6F  push aminstantservice-8.50.2.0.152ED44                            "WTSGetActiveConsoleSessionId"
013CFB77  push aminstantservice-8.50.2.0.152ED64                            "WTSQueryUserToken"
013CFB86  push aminstantservice-8.50.2.0.152ED78                            "DuplicateTokenEx"
013CFB91  push aminstantservice-8.50.2.0.152ED8C                            "ImpersonateLoggedOnUser"
013CFC52  mov dword ptr ss:[ebp-28],aminstantservice-8.50.2.0.152ED30       "Cannot load library"
013CFCC0  push aminstantservice-8.50.2.0.152EE48                            "localhost"
013CFDF5  push aminstantservice-8.50.2.0.152ECEC                            "--bring-to-top"
013CFE38  push aminstantservice-8.50.2.0.152ECFC                            " %d"
013CFEAB  mov byte ptr ss:[esp+1008C],4                                     "&;"
013CFF67  push aminstantservice-8.50.2.0.152EE38                            "aminstant.log"
013D00C9  push aminstantservice-8.50.2.0.152EE54                            "*%s"
013D02BC  push aminstantservice-8.50.2.0.152EDA4                            "__ACTIVEMARK_INSTANT_PROFILER_URL__"
013D0300  push aminstantservice-8.50.2.0.152EDC8                            "__ACTIVEMARK_INSTANT_PROFILER_URL__"
013D030E  push aminstantservice-8.50.2.0.152EDEC                            "__ACTIVEMARK_INSTANT_PROFILER_URL__"
013D032A  push aminstantservice-8.50.2.0.152EE10                            "http://profiler-cdn.am.gamehouse.com"
013D0529  push aminstantservice-8.50.2.0.152EBD0                            "package.json"
013D063D  push aminstantservice-8.50.2.0.152EBE0                            "name"
013D06E0  push aminstantservice-8.50.2.0.152EBE8                            "aminstantservice"
013D0AEA  push aminstantservice-8.50.2.0.152DDA0                            "map/set<T> too long"
013D16C6  mov dword ptr ss:[esp],aminstantservice-8.50.2.0.152EFC8          "exit"
013D19CA  push aminstantservice-8.50.2.0.152EE5C                            "OK!"
013D19D3  push aminstantservice-8.50.2.0.152EE60                            "Not enough privileges to run this action"
013D19DC  push aminstantservice-8.50.2.0.152EE8C                            "Unable to retrieve path of the application"
013D19E5  push aminstantservice-8.50.2.0.152EEB8                            "Unable to open service"
013D19EE  push aminstantservice-8.50.2.0.152EED0                            "Unable to start service"
013D19F7  push aminstantservice-8.50.2.0.152EEE8                            "Unable to stop service"
013D1A00  push aminstantservice-8.50.2.0.152EF00                            "Unable to query service information"
013D1A09  push aminstantservice-8.50.2.0.152EF24                            "Unable to install service"
013D1A12  push aminstantservice-8.50.2.0.152EF40                            "Unable to uninstall service"
013D1A1B  push aminstantservice-8.50.2.0.152EF5C                            "Cannot run this program as a service"
013D1A24  push aminstantservice-8.50.2.0.152EF84                            "Timeout while waiting service"
013D1A2D  push aminstantservice-8.50.2.0.152EFA4                            "Unknown error"
013D1A4D  push aminstantservice-8.50.2.0.152EFB4                            "ERROR(%02x, %02x): "
013D1BA6  push aminstantservice-8.50.2.0.152F010                            "%s failed with %d"
013D235E  push aminstantservice-8.50.2.0.152EFF4                            "RegisterServiceCtrlHandler"
013D25AE  push aminstantservice-8.50.2.0.152EFD8                            "StartServiceCtrlDispatcher"
013D269D  push aminstantservice-8.50.2.0.152EFD0                            "\" "
013D2C09  push aminstantservice-8.50.2.0.152F154                            "deque<T> too long"
013D32A0  mov eax,aminstantservice-8.50.2.0.152F198                         "AmWebServerException"
013D3626  mov ecx,aminstantservice-8.50.2.0.152F0E0                         "127.0.0.1"
013D36CD  push aminstantservice-8.50.2.0.152F0CC                            "Invalid port number"
013D3A33  push aminstantservice-8.50.2.0.152DDB4                            "invalid map/set<T> iterator"
013D4657  push aminstantservice-8.50.2.0.152F0EC                            "Invalid server handle"
013D471B  push aminstantservice-8.50.2.0.152F104                            "Unable to process request. Invalid socket."
013D4770  push aminstantservice-8.50.2.0.152F130                            "Trying to access socket remotely"
013D49EE  push aminstantservice-8.50.2.0.152F1B4                            "\" "
013D4BF3  mov eax,dword ptr ss:[ebp+1000C]                                  "&;"
013D4C2E  push aminstantservice-8.50.2.0.152F3E0                            "kernel32.dll"
013D4C4C  push aminstantservice-8.50.2.0.152F3F0                            "Wtsapi32.dll"
013D4C58  push aminstantservice-8.50.2.0.152F400                            "advapi32.dll"
013D4C62  push aminstantservice-8.50.2.0.152F410                            "Userenv.dll"
013D4C97  push aminstantservice-8.50.2.0.152F430                            "WTSEnumerateSessionsW"
013D4C9F  push aminstantservice-8.50.2.0.152F448                            "WTSFreeMemory"
013D4CAC  push aminstantservice-8.50.2.0.152F458                            "WTSQueryUserToken"
013D4CB9  push aminstantservice-8.50.2.0.152F46C                            "CreateEnvironmentBlock"
013D4CCA  push aminstantservice-8.50.2.0.152F484                            "DestroyEnvironmentBlock"
013D4CD5  push aminstantservice-8.50.2.0.152F49C                            "DuplicateTokenEx"
013D4E0E  push aminstantservice-8.50.2.0.152F4F0                            "\" "
013D4E23  mov dword ptr ss:[ebp-11C],aminstantservice-8.50.2.0.152F4CC      L"Winsta0\\Default"
013D4F75  mov dword ptr ss:[ebp-70],aminstantservice-8.50.2.0.152F4B0       "Cannot get a valid token"
